Date,Month,Year,Value
15,1,2020,42.3
22,3,2021,67.8
8,5,2019,23.1
30,7,2022,89.5
12,2,2020,34.7
25,4,2021,56.2
3,6,2019,78.9
18,8,2022,45.6
29,9,2020,61.4
7,10,2021,39.8
14,11,2019,72.3
21,12,2022,28.5
5,1,2020,53.9
16,3,2021,84.1
2,5,2019,47.2
27,7,2022,65.8
9,2,2020,38.4
24,4,2021,59.7
1,6,2019,81.2
19,8,2022,42.9
28,9,2020,68.5
6,10,2021,36.1
13,11,2019,75.8
20,12,2022,31.4
4,1,2020,57.6
17,3,2021,79.3
10,5,2019,44.5
26,7,2022,62.7
11,2,2020,41.8
23,4,2021,54.9
4,6,2019,83.4
15,8,2022,48.2
30,9,2020,64.7
8,10,2021,33.5
12,11,2019,71.6
22,12,2022,29.8
6,1,2020,51.3
18,3,2021,86.9
3,5,2019,46.1
25,7,2022,67.3
13,2,2020,37.2
26,4,2021,58.4
2,6,2019,79.8
16,8,2022,43.7
29,9,2020,66.2
7,10,2021,35.9
14,11,2019,74.1
21,12,2022,32.6
5,1,2020,55.8
17,3,2021,82.5
1,5,2019,45.3
24,7,2022,63.9
10,2,2020,40.6
25,4,2021,57.1
3,6,2019,80.7
19,8,2022,47.4
28,9,2020,69.8
6,10,2021,34.2
13,11,2019,73.5
20,12,2022,30.9
4,1,2020,59.1
18,3,2021,88.3
2,5,2019,48.7
26,7,2022,64.5
11,2,2020,39.5
23,4,2021,56.8
4,6,2019,77.6
15,8,2022,44.8
30,9,2020,62.9
8,10,2021,37.4
12,11,2019,76.2
22,12,2022,27.3
6,1,2020,52.7
16,3,2021,85.6
3,5,2019,43.9
25,7,2022,61.1
13,2,2020,36.8
26,4,2021,60.3
2,6,2019,82.1
19,8,2022,49.5
28,9,2020,65.4
7,10,2021,38.7
14,11,2019,70.9
21,12,2022,33.2
5,1,2020,54.6
17,3,2021,81.7
1,5,2019,47.8
24,7,2022,66.4
10,2,2020,42.1
25,4,2021,55.5
3,6,2019,78.3
15,8,2022,46.9
30,9,2020,63.6
8,10,2021,32.8
12,11,2019,75.1
22,12,2022,31.7
6,1,2020,50.4
18,3,2021,87.2
2,5,2019,44.2
26,7,2022,68.7